"country","year","suicides_no","population","Life.Ladder","Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","suicides_rate"
"Argentina",2007,2946,36315492,6.073,10.018,0.862,66.94,8.11
"Argentina",2009,2884,37158001,6.424,9.977,0.919,67.18,7.76
"Argentina",2010,2943,37578454,6.441,10.066,0.927,67.3,7.83
"Argentina",2012,3248,38441778,6.468,10.091,0.902,67.66,8.45
"Argentina",2013,2987,38859125,6.582,10.103,0.91,67.84,7.69
"Argentina",2015,3073,39699624,6.697,10.083,0.926,68.2,7.74
"Armenia",2006,78,2764396,4.289,9.044,0.682,64.8,2.82
"Armenia",2007,71,2735313,4.882,9.181,0.76,64.9,2.6
"Armenia",2009,53,2689695,4.178,9.111,0.68,65.1,1.97
"Armenia",2011,67,2670366,4.26,9.182,0.705,65.36,2.51
"Armenia",2016,67,2400033,4.325,9.333,0.709,66.3,2.79
"Australia",2007,2229,19734430,7.285,10.703,0.965,71.72,11.29
"Australia",2012,2580,21238909,7.196,10.754,0.945,72.4,12.15
"Australia",2013,2608,21600180,7.364,10.762,0.928,72.5,12.07
"Australia",2015,3027,22240785,7.309,10.779,0.952,72.7,13.61
"Austria",2006,1297,7869269,7.122,10.842,0.936,70.76,16.48
"Austria",2008,1267,7925258,7.181,10.887,0.935,71.08,15.99
"Austria",2010,1264,7968421,7.303,10.861,0.914,71.4,15.86
"Austria",2012,1276,8031276,7.401,10.889,0.945,71.68,15.89
"Austria",2016,1201,7484629,7.048,10.891,0.926,72.4,16.05
"Bahrain",2009,36,1092922,5.701,10.709,0.904,65.94,3.29
"Bahrain",2012,19,1201778,5.027,10.716,0.911,66.86,1.58
"Bahrain",2014,9,1213966,6.165,10.783,0,67.42,0.74
"Belarus",2007,2659,9244456,5.617,9.576,0.858,61.4,28.76
"Belarus",2010,2459,8981193,5.526,9.758,0.918,62.3,27.38
"Belarus",2011,2172,8947320,5.225,9.812,0.91,62.88,24.28
"Belgium",2008,1999,10100850,7.117,10.789,0.923,70.44,19.79
"Belgium",2010,2013,10211171,6.854,10.779,0.931,70.8,19.71
"Belgium",2011,2088,10355126,7.111,10.783,0.937,70.92,20.16
"Belgium",2012,2026,10442637,6.935,10.784,0.927,71.04,19.4
"Belgium",2013,1895,10526149,7.104,10.784,0.909,71.16,18
"Belgium",2014,1899,10578848,6.855,10.795,0.944,71.28,17.95
"Belgium",2015,1867,10624356,6.904,10.81,0.885,71.4,17.57
"Brazil",2005,8529,170483960,6.637,9.438,0.883,63.3,5
"Brazil",2007,8855,175293192,6.321,9.515,0.886,63.78,5.05
"Brazil",2008,9184,177471632,6.691,9.555,0.878,64.02,5.17
"Brazil",2009,9346,179569551,7.001,9.544,0.913,64.26,5.2
"Brazil",2010,9429,181629712,6.837,9.607,0.906,64.5,5.19
"Brazil",2011,9822,183656441,7.038,9.637,0.916,64.76,5.35
"Brazil",2012,10295,185591215,6.66,9.647,0.89,65.02,5.55
"Brazil",2013,10513,187458852,7.14,9.668,0.91,65.28,5.61
"Brazil",2014,10631,189285554,6.981,9.664,0.898,65.54,5.62
"Brazil",2015,11163,191087085,6.547,9.62,0.907,65.8,5.84
"Bulgaria",2007,902,7312474,3.844,9.715,0.832,65.1,12.34
"Bulgaria",2010,859,7162740,3.912,9.765,0.843,65.7,11.99
"Bulgaria",2011,763,7056527,3.875,9.795,0.86,65.8,10.81
"Bulgaria",2012,872,6959652,4.222,9.804,0.838,65.9,12.53
"Bulgaria",2013,721,6920644,3.993,9.813,0.829,66,10.42
"Bulgaria",2014,724,6883874,4.438,9.838,0.886,66.1,10.52
"Canada",2005,3743,30597090,7.418,10.652,0.962,71.3,12.23
"Canada",2007,3611,31242631,7.482,10.739,0,71.66,11.56
"Canada",2008,3705,31588641,7.486,10.738,0.939,71.84,11.73
"Canada",2009,3890,31937357,7.488,10.697,0.943,72.02,12.18
"Canada",2010,3951,32286140,7.65,10.717,0.954,72.2,12.24
"Canada",2011,3728,32615418,7.426,10.738,0.922,72.36,11.43
"Canada",2012,3926,32961196,7.415,10.744,0.948,72.52,11.91
"Canada",2013,4054,33314836,7.594,10.757,0.936,72.68,12.17
"Chile",2006,1795,15071596,6.063,9.85,0.836,68.66,11.91
"Chile",2007,1848,15245435,5.698,9.887,0.815,68.72,12.12
"Chile",2008,2088,15415661,5.789,9.911,0.804,68.78,13.54
"Chile",2009,2148,15584149,6.494,9.885,0.832,68.84,13.78
"Chile",2010,2001,15751851,6.636,9.931,0.857,68.9,12.7
"Chile",2011,2027,15910783,6.526,9.98,0.819,69.04,12.74
"Chile",2012,1841,16075247,6.599,10.023,0.855,69.18,11.45
"Chile",2013,1738,16242244,6.74,10.053,0.862,69.32,10.7
"Chile",2014,1789,16406867,6.844,10.059,0.862,69.46,10.9
"Chile",2015,1838,16565725,6.533,10.07,0.827,69.6,11.1
"Colombia",2006,2177,39708676,6.025,9.277,0.91,65.22,5.48
"Colombia",2007,2181,40275206,6.138,9.33,0.894,65.34,5.42
"Colombia",2008,2220,40859129,6.168,9.351,0.88,65.46,5.43
"Colombia",2009,2249,41436173,6.272,9.351,0.886,65.58,5.43
"Colombia",2010,2107,41989103,6.408,9.384,0.893,65.7,5.02
"Colombia",2011,2044,42538305,6.464,9.442,0.904,65.92,4.81
"Colombia",2012,2119,43055864,6.375,9.471,0.914,66.14,4.92
"Colombia",2013,2068,43546298,6.607,9.512,0.901,66.36,4.75
"Colombia",2014,2126,44021800,6.449,9.546,0.907,66.58,4.83
"Colombia",2015,2332,44490427,6.388,9.564,0.89,66.8,5.24
"Costa Rica",2006,350,3953916,7.082,9.565,0.937,69.94,8.85
"Costa Rica",2007,270,4015241,7.432,9.63,0.918,69.88,6.72
"Costa Rica",2008,261,4072561,6.851,9.662,0.916,69.82,6.41
"Costa Rica",2009,278,4128459,7.615,9.639,0.9,69.76,6.73
"Costa Rica",2010,311,4184663,7.271,9.675,0.915,69.7,7.43
"Costa Rica",2011,316,4235514,7.229,9.705,0.892,69.9,7.46
"Costa Rica",2012,302,4290210,7.272,9.74,0.902,70.1,7.04
"Costa Rica",2013,311,4347229,7.158,9.751,0.902,70.3,7.15
"Costa Rica",2014,268,4403674,7.247,9.775,0.914,70.5,6.09
"Croatia",2007,775,4230855,5.821,10.162,0.91,67.12,18.32
"Croatia",2009,790,4216050,5.433,10.104,0.861,67.64,18.74
"Croatia",2010,776,4203963,5.596,10.091,0.796,67.9,18.46
"Croatia",2011,702,4189029,5.385,10.091,0.79,68,16.76
"Croatia",2012,776,4054296,6.028,10.072,0.776,68.1,19.14
"Croatia",2013,692,4044457,5.885,10.069,0.751,68.2,17.11
"Croatia",2014,722,4030452,5.381,10.072,0.646,68.3,17.91
"Croatia",2015,739,4001669,5.205,10.104,0.768,68.4,18.47
"Croatia",2016,683,3567043,5.417,10.146,0.798,69,19.15
"Cyprus",2006,19,713426,6.238,10.566,0.878,71.44,2.66
"Cyprus",2009,32,767174,6.833,10.558,0.812,72.16,4.17
"Cyprus",2010,38,787081,6.387,10.551,0.822,72.4,4.83
"Cyprus",2011,30,800820,6.69,10.53,0.844,72.54,3.75
"Cyprus",2012,36,814305,6.181,10.479,0.767,72.68,4.42
"Cyprus",2013,45,813016,5.439,10.414,0.744,72.82,5.53
"Cyprus",2014,44,804818,5.627,10.406,0.77,72.96,5.47
"Cyprus",2015,40,796037,5.439,10.445,0.77,73.1,5.02
"Cyprus",2016,36,711344,5.795,10.506,0.786,73.3,5.06
"Czech Republic",2005,1565,9761733,6.439,10.324,0.919,67,16.03
